,"deklination ","stamme"
"ἀρχάγγελος,743,false","2.","ο-stamme"
"Ἀρχέλαος,745,false","2.","ο-stamme"
"ἀρχή,746,false","1. (-η)","α-stamme"
"ἀρχηγός,747,false","2.","ο-stamme"
"ἀρχιερεύς,749,false","3.","ευ-stamme"
"ἀρχιποίμην,750,false","3.","ν-stamme"
"Ἄρχιππος,751,false","2.","ο-stamme"
"ἀρχισυνάγωγος,752,false","2.","ο-stamme"
"ἀρχιτέκτων,753,false","3.","ν-stamme"
"ἀρχιτελώνης,754,false","2.","ο-stamme"
"ἀρχιτρίκλινος,755,false","2.","ο-stamme"
"ἄρχων,758,false","3.","ντ-stamme"
"ἄρωμα,759,false","3.","τ-stamme"
"ἀσέβεια,763,false","1. (-ᾱ)","α-stamme"
"ἀσέλγεια,766,false","1. (-ᾱ)","α-stamme"
"ἀσθένεια,769,false","1. (-ᾱ)","α-stamme"
"ἀσθένημα,771,false","3.","τ-stamme"
"Ἀσία,773,false","1. (-ᾱ)","α-stamme"
"Ἀσιανός,774,false","2.","ο-stamme"
"Ἀσιάρχης,775,false","1. (-η)","α-stamme"
"ἀσιτία,776,false","1. (-ᾱ)","α-stamme"
"ἀσκός,779,false","2.","ο-stamme"
"ἀσπασμός,783,false","2.","ο-stamme"
"ἀσπίς,785,false","3.","δ-stamme"
"ἀσσάριον,787,false","2.","ο-stamme"
"ἀστήρ,792,false","3.","ρ-stamme"
"ἀστραπή,796,false","1. (-η)","α-stamme"
"ἄστρον,798,false","2.","ο-stamme"
"Ἀσύγκριτος,799,false","2.","ο-stamme"
"ἀσφάλεια,803,false","1. (-ᾱ)","α-stamme"
"ἀσχημοσύνη,808,false","1. (-η)","α-stamme"
"ἀσωτία,810,false","1. (-ᾱ)","α-stamme"
"ἀτιμία,819,false","1. (-ᾱ)","α-stamme"
"ἀτμίς,822,false","3.","δ-stamme"
"Ἀττάλεια,825,false","1. (-ᾱ)","α-stamme"
"αὐγή,827,false","1. (-η)","α-stamme"
"Αὐγοῦστος,828,false","2.","ο-stamme"
"αὐλή,833,false","1. (-η)","α-stamme"
"αὐλητής,834,false","1. (-η)","α-stamme"
"αὐλός,836,false","2.","ο-stamme"
"αὔξησις,838,false","3.","ι-stamme"
"αὐτάρκεια,841,false","1. (-ᾱ)","α-stamme"
"αὐτόπτης,845,false","1. (-η)","α-stamme"
"ἀφανισμός,854,false","2.","ο-stamme"
"ἀφεδρών,856,false","3.","ν-stamme"
"ἀφειδία,857,false","1. (-ᾱ)","α-stamme"
"ἀφελότης,858,false","3.","τ-stamme"
"ἄφεσις,859,false","3.","ι-stamme"
"ἁφή,860,false","1. (-η)","α-stamme"
"ἀφθαρσία,861,false","1. (-ᾱ)","α-stamme"
"ἀφθορία,861,true","1. (-ᾱ)","α-stamme"
"ἄφιξις,867,false","3.","ι-stamme"
"ἀφορμή,874,false","1. (-η)","α-stamme"
"ἀφρός,876,false","2.","ο-stamme"
"ἀφροσύνη,877,false","1. (-η)","α-stamme"
"Ἀχαΐα,882,false","1. (-ᾱ)","α-stamme"
"Ἀχαϊκός,883,false","2.","ο-stamme"
"ἀχλύς,887,false","3.","υ-stamme"
"ἄχυρον,892,false","2.","ο-stamme"
"ἄψινθος,894,false","2.","ο-stamme"
"Βαβυλών,897,false","3.","ν-stamme"
"βαθμός,898,false","2.","ο-stamme"
"βάθος,899,false","2.","ο-stamme"
"βάϊον,902,false","2.","ο-stamme"
